460077268,499437461,596908274,604833867,602795327
459806437,498264433,596820711,603516557,595875271
457028687,494995814,590942550,601940607,595619141
454199210,490426264,590035672,601252527,590157416
453888219,489289067,589043367,601042103,589606463
450068851,488269113,587268300,598461774,589549222
449001558,488267725,587186487,595806542,589051396
447911662,487385589,586104394,594627327,587215874
447443938,487323255,584237370,594527251,585633115
447349706,487199304,582902639,592536946,585091349
447184847,486931566,579773862,591219681,584827054
446924858,486311352,579579931,590649862,583923715
446875646,484216711,578639320,589647110,583629308
446223637,483789978,578052809,589476866,583586059
445884219,483397458,578044305,588341548,583420244
445845451,483002773,577081251,587830362,582737139
445649661,482923225,576938896,587043777,582568748
445458836,482769097,576532961,586130761,582529129
445314198,482386949,576310858,585878242,582062575
445286314,481602744,575920884,584901636,581693659
444986941,481091853,575862637,584423714,581236119
444858610,480926971,574915604,584225842,581180949
444483032,480717332,574069230,584107978,581143219
444408774,480414779,573370206,583958821,580887601
444101645,478497682,573188314,583812561,580238926
443259796,478481526,573147168,583203572,580107791
442807295,478230631,572835742,583121414,579723116
442634400,478013128,572729337,582841166,578834841
442216996,478009037,572066889,582108256,578651638
442204109,477638806,570854519,581742138,577747219
442173243,477598450,570627221,581539027,577699567
442148087,477583817,570509906,581494889,577691844
441524085,477226373,570321241,581255957,576925925
440878290,476400029,568641756,581252318,575121953
438926432,476185165,568209329,580066131,575109889
438816985,476068154,568131490,579557566,575022915
438662472,476045500,567963188,579489896,574452226
438565667,475990653,567479495,579482595,574143649
438477796,475856756,567451981,579319901,573947711
438232952,475661650,567139782,579270558,573854606
438135892,475656082,567120416,579227265,573790430
438135437,475526027,567113925,579208962,573784392
438096611,475484622,565889486,579031758,573743381
437867194,475446900,565886957,578919958,573577555
437710905,475347480,565798540,578339018,573113992
437507464,475333605,565714358,578175987,573015181
437120198,475292665,565638152,577595529,572813064
436894707,475217278,565403374,577583998,572768415
436834909,475104593,565053647,577154150,572434531
436497657,474535524,564044020,577096622,572423236
436265739,474475627,564004985,576625534,572017176
436209519,474053328,563737600,576534371,571672157
436049554,473995949,563615057,576318962,571507520
435932312,473766760,563484151,575935183,571416022
435906254,473288339,563286289,575926218,570945442
435800033,473114026,562683875,575859105,570632576
435800030,473003364,562138472,575641085,570526869
435800029,472971629,561934453,575032186,570468272
435542435,472635704,561663355,574769151,570428985
435117495,472598257,561442036,574537738,570381844
435056698,472466855,561353759,574067973,570281978
434563525,472106769,561293731,574064040,570169885
433851918,471962511,561030040,573985836,569230720
433803294,471959304,560876806,573641691,569076308
433608579,471916223,560857818,573585129,568857001
433276563,471624129,560558658,573461929,568815495
432900369,471299371,560143605,573382898,568760833
432736851,470936826,560140031,573356047,568525084
432713666,470760033,560001558,572981345,568430978
432550115,470711955,559753282,572814771,568353211
432360225,470670563,559692548,572780966,568330183
432345574,470147820,559234473,572719493,568309206
432238018,470061957,559106421,572573510,567391639
431879984,470026796,559057732,572404010,567285423
431768568,469853612,558825981,572311051,567113155
431689587,469603105,558709427,572064798,567065721
431589493,469477110,558498919,571877741,566485966
431235998,469466858,558331108,571757879,566452855
430766897,469344068,557863322,571682317,566376378
430734615,469154637,557811704,571542834,566207776
430730827,469104442,557365306,571450737,565739187
430508137,468972869,557292609,571286480,565703076
430494886,468942101,557044024,571279044,565641480
430236812,468919573,556891602,570819927,565508568
430161706,468718214,556521484,570185363,565233285
430044145,468470470,555935748,570160652,565170443
430029184,468108211,555072367,569596984,564877459
430022271,467886633,554492114,569497765,564839317
429786282,467753325,554485548,569414743,564768451
429676887,467729041,554475979,569366857,564580759
429629369,467683586,554318084,569291166,564561099
429594398,467601751,554312585,569043741,564498282
429591223,467534214,554170219,568670286,564408242
429552041,467307771,553997992,568564925,563816279
429540700,467278743,553301849,568559751,563587819
429224686,467209207,553209654,568344772,563501097
429023071,467198880,552837764,568307137,563391333
428851898,467186329,552760296,568225486,562824917
428694927,467148281,552361732,567984752,562815021
428569802,467050819,552139458,567953110,562759708
428536961,466802687,552106370,567494181,562701258
428278486,466436326,551389994,567062251,562446409
428244145,466415597,551070083,567060855,561871184
428061175,466413858,550729477,567058770,561717555
427987136,466404449,550656872,567023588,561597200
